UniqueCount	AmbigCount
0	0
0	0
15	869
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	5
0	0
0	0
0	2
0	0
0	3
6	20
0	172
0	58
0	6
0	0
29	98
0	2
0	60
0	0
0	0
0	0
2	200
0	183
4	9
0	0
1	80
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
169	6020
9905	13823
268	134472
53	2942
0	0
18608	16723
28	2744
0	0
0	20
78	524
0	5
0	98
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	6
10	6
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	61
0	0
0	0
0	0
8	1
0	0
0	0
0	1
0	0
0	4
164	60
0	19
0	18
0	20
0	7
0	2
0	98
0	50
0	6
0	14
0	4
8	5
0	6
20	6
0	8
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	217
0	228
0	228
0	228
0	228
0	228
0	228
0	228
0	228
0	217
0	0
0	0
0	0
0	0
0	0
0	0
108	958
371	2809
28	2606
0	0
0	652
0	9
43	81
0	77
23	31
4	26
0	0
0	20
2	19
0	17
0	0
0	5
0	0
0	0
0	0
0	0
0	6
6	6
0	4
0	4
0	3449
0	2515
1698	3449
0	0
0	0
95	1376
0	1376
0	0
0	28
0	74
0	43
0	2
0	30
0	52
31	382
0	9
3	74
0	2
0	74
19	0
9	51
11	57
36	0
0	0
0	170
0	175
0	222
0	202
20	126
0	170
0	196
0	26
0	133
0	83
0	68
0	90
0	35
0	11
0	15
0	16
0	3
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
8	63
1	44
0	35
34	32
0	32
0	6
23	1506
0	1112
0	1337
15	731
1	570
0	304
2	281
180	0
0	0
0	0
0	0
0	0
0	0
0	0
3	967
0	978
12	1014
28	676
13	794
5	579
0	568
0	124
0	494
0	340
0	67
0	138
0	157
0	146
0	150
0	0
0	25
0	20
0	77
24	1
0	0
0	0
0	6
0	7
0	7
0	7
0	0
0	6
0	0
0	3
14	462
0	426
4	269
0	255
0	5
0	33
0	60
0	3
8	85
0	51
0	6
0	21
0	0
32	172
0	48
0	9
0	113
0	65
1	964
0	1635
0	1635
0	1244
0	821
3	1715
0	342
0	1389
0	1245
117	1064
12	561
9	1097
0	1626
0	1243
0	1082
0	1260
0	1434
0	392
0	196
0	103
1	1051
0	224
0	323
0	343
0	200
0	261
7	427
0	23
0	130
5	550
0	250
3	304
0	406
0	359
